system,name,param,mr_score,ansatz,layers,n_qubits,n_params,depth,n_2q,E_HF,E_FCI,E_VQE,vqe_error,target_error,meets_target,noon_0,noon_1,noon_2,noon_3
H4,H4_sq_d-0.30_a1.00,-0.3,1.2105508971504446,HEA,1.0,8,8.0,9.0,7.0,-2.108022044555556,-2.1514346257935517,-0.5928518891851481,1.5585827366084035,0.0016,False,1.821256873195456,0.8635425626224295,0.08810509047486202,0.08016011724860934
H4,H4_sq_d-0.30_a1.00,-0.3,1.2105508971504446,HEA,2.0,8,16.0,12.0,14.0,-2.108022044555556,-2.1514346257935517,-1.64620285947141,0.5052317663221417,0.0016,False,1.821256873195456,0.8635425626224295,0.08810509047486202,0.08016011724860934
H4,H4_sq_d-0.30_a1.00,-0.3,1.2105508971504446,HEA,3.0,8,24.0,15.0,21.0,-2.108022044555556,-2.1514346257935517,-1.6205116305347353,0.5309229952588164,0.0016,False,1.821256873195456,0.8635425626224295,0.08810509047486202,0.08016011724860934
H4,H4_sq_d-0.30_a1.00,-0.3,1.2105508971504446,HEA,4.0,8,32.0,18.0,28.0,-2.108022044555556,-2.1514346257935517,-1.584908185321193,0.5665264404723587,0.0016,False,1.821256873195456,0.8635425626224295,0.08810509047486202,0.08016011724860934
H4,H4_sq_d-0.30_a1.00,-0.3,1.2105508971504446,HEA,5.0,8,40.0,21.0,35.0,-2.108022044555556,-2.1514346257935517,-1.6655522283310147,0.48588239746253703,0.0016,False,1.821256873195456,0.8635425626224295,0.08810509047486202,0.08016011724860934
H4,H4_sq_d-0.30_a1.00,-0.3,1.2105508971504446,HEA,6.0,8,48.0,24.0,42.0,-2.108022044555556,-2.1514346257935517,-1.9031443243905626,0.24829030140298913,0.0016,False,1.821256873195456,0.8635425626224295,0.08810509047486202,0.08016011724860934
H4,H4_sq_d-0.30_a1.00,-0.3,1.2105508971504446,HEA_required,,8,,,,-2.108022044555556,-2.1514346257935517,,,0.0016,False,1.821256873195456,0.8635425626224295,0.08810509047486202,0.08016011724860934
H4,H4_sq_d-0.30_a1.00,-0.3,1.2105508971504446,UCCSD,0.0,8,0.0,0.0,0.0,-2.108022044555556,-2.1514346257935517,,,,,1.821256873195456,0.8635425626224295,0.08810509047486202,0.08016011724860934
H4,H4_sq_d-0.22_a1.00,-0.22,1.0876966860464292,HEA,1.0,8,8.0,9.0,7.0,-2.0580508013390126,-2.1111656292169814,-0.6069457372748017,1.5042198919421796,0.0016,False,1.9807216732866992,0.8617217633408711,0.10490702298623512,0.1017895730060222
H4,H4_sq_d-0.22_a1.00,-0.22,1.0876966860464292,HEA,2.0,8,16.0,12.0,14.0,-2.0580508013390126,-2.1111656292169814,-1.6793530384944027,0.4318125907225787,0.0016,False,1.9807216732866992,0.8617217633408711,0.10490702298623512,0.1017895730060222
H4,H4_sq_d-0.22_a1.00,-0.22,1.0876966860464292,HEA,3.0,8,24.0,15.0,21.0,-2.0580508013390126,-2.1111656292169814,-1.7434564772243235,0.36770915199265786,0.0016,False,1.9807216732866992,0.8617217633408711,0.10490702298623512,0.1017895730060222
H4,H4_sq_d-0.22_a1.00,-0.22,1.0876966860464292,HEA,4.0,8,32.0,18.0,28.0,-2.0580508013390126,-2.1111656292169814,-1.6315826333745511,0.47958299584243025,0.0016,False,1.9807216732866992,0.8617217633408711,0.10490702298623512,0.1017895730060222
H4,H4_sq_d-0.22_a1.00,-0.22,1.0876966860464292,HEA,5.0,8,40.0,21.0,35.0,-2.0580508013390126,-2.1111656292169814,-1.5875355306149745,0.5236300986020068,0.0016,False,1.9807216732866992,0.8617217633408711,0.10490702298623512,0.1017895730060222
H4,H4_sq_d-0.22_a1.00,-0.22,1.0876966860464292,HEA,6.0,8,48.0,24.0,42.0,-2.0580508013390126,-2.1111656292169814,-1.9854558791400654,0.12570975007691598,0.0016,False,1.9807216732866992,0.8617217633408711,0.10490702298623512,0.1017895730060222
H4,H4_sq_d-0.22_a1.00,-0.22,1.0876966860464292,HEA_required,,8,,,,-2.0580508013390126,-2.1111656292169814,,,0.0016,False,1.9807216732866992,0.8617217633408711,0.10490702298623512,0.1017895730060222
H4,H4_sq_d-0.22_a1.00,-0.22,1.0876966860464292,UCCSD,0.0,8,0.0,0.0,0.0,-2.0580508013390126,-2.1111656292169814,,,,,1.9807216732866992,0.8617217633408711,0.10490702298623512,0.1017895730060222
H4,H4_sq_d-0.15_a1.00,-0.15,0.9814622292408839,HEA,1.0,8,8.0,9.0,7.0,-1.9815604078555382,-2.0477474708670482,-0.5928234431436042,1.454924027723444,0.0016,False,2.153009106921979,0.8588876564896388,0.14839523760648135,0.127188442066743
H4,H4_sq_d-0.15_a1.00,-0.15,0.9814622292408839,HEA,2.0,8,16.0,12.0,14.0,-1.9815604078555382,-2.0477474708670482,-1.8070116193651626,0.2407358515018856,0.0016,False,2.153009106921979,0.8588876564896388,0.14839523760648135,0.127188442066743
H4,H4_sq_d-0.15_a1.00,-0.15,0.9814622292408839,HEA,3.0,8,24.0,15.0,21.0,-1.9815604078555382,-2.0477474708670482,-1.799585661557383,0.24816180930966514,0.0016,False,2.153009106921979,0.8588876564896388,0.14839523760648135,0.127188442066743
H4,H4_sq_d-0.15_a1.00,-0.15,0.9814622292408839,HEA,4.0,8,32.0,18.0,28.0,-1.9815604078555382,-2.0477474708670482,-1.0209781866776892,1.026769284189359,0.0016,False,2.153009106921979,0.8588876564896388,0.14839523760648135,0.127188442066743
H4,H4_sq_d-0.15_a1.00,-0.15,0.9814622292408839,HEA,5.0,8,40.0,21.0,35.0,-1.9815604078555382,-2.0477474708670482,-1.7121936001614673,0.33555387070558096,0.0016,False,2.153009106921979,0.8588876564896388,0.14839523760648135,0.127188442066743
H4,H4_sq_d-0.15_a1.00,-0.15,0.9814622292408839,HEA,6.0,8,48.0,24.0,42.0,-1.9815604078555382,-2.0477474708670482,-1.9173491185025577,0.1303983523644905,0.0016,False,2.153009106921979,0.8588876564896388,0.14839523760648135,0.127188442066743
H4,H4_sq_d-0.15_a1.00,-0.15,0.9814622292408839,HEA_required,,8,,,,-1.9815604078555382,-2.0477474708670482,,,0.0016,False,2.153009106921979,0.8588876564896388,0.14839523760648135,0.127188442066743
H4,H4_sq_d-0.15_a1.00,-0.15,0.9814622292408839,UCCSD,0.0,8,0.0,0.0,0.0,-1.9815604078555382,-2.0477474708670482,,,,,2.153009106921979,0.8588876564896388,0.14839523760648135,0.127188442066743
H4,H4_sq_d-0.08_a1.00,-0.08,1.0651719582033974,HEA,1.0,8,8.0,9.0,7.0,-1.8822587165363762,-1.969770882426677,-0.5550926499394435,1.4146782324872336,0.0016,False,2.2582012272313525,0.8552443494382843,0.3129791293788772,0.1551497066175885
H4,H4_sq_d-0.08_a1.00,-0.08,1.0651719582033974,HEA,2.0,8,16.0,12.0,14.0,-1.8822587165363762,-1.969770882426677,-1.5356864008506539,0.4340844815760232,0.0016,False,2.2582012272313525,0.8552443494382843,0.3129791293788772,0.1551497066175885
H4,H4_sq_d-0.08_a1.00,-0.08,1.0651719582033974,HEA,3.0,8,24.0,15.0,21.0,-1.8822587165363762,-1.969770882426677,-1.6332177472972427,0.3365531351294344,0.0016,False,2.2582012272313525,0.8552443494382843,0.3129791293788772,0.1551497066175885
H4,H4_sq_d-0.08_a1.00,-0.08,1.0651719582033974,HEA,4.0,8,32.0,18.0,28.0,-1.8822587165363762,-1.969770882426677,-1.496342539288169,0.473428343138508,0.0016,False,2.2582012272313525,0.8552443494382843,0.3129791293788772,0.1551497066175885
H4,H4_sq_d-0.08_a1.00,-0.08,1.0651719582033974,HEA,5.0,8,40.0,21.0,35.0,-1.8822587165363762,-1.969770882426677,-1.6796147080112256,0.2901561744154515,0.0016,False,2.2582012272313525,0.8552443494382843,0.3129791293788772,0.1551497066175885
H4,H4_sq_d-0.08_a1.00,-0.08,1.0651719582033974,HEA,6.0,8,48.0,24.0,42.0,-1.8822587165363762,-1.969770882426677,-1.7858507787283717,0.18392010369830536,0.0016,False,2.2582012272313525,0.8552443494382843,0.3129791293788772,0.1551497066175885
H4,H4_sq_d-0.08_a1.00,-0.08,1.0651719582033974,HEA_required,,8,,,,-1.8822587165363762,-1.969770882426677,,,0.0016,False,2.2582012272313525,0.8552443494382843,0.3129791293788772,0.1551497066175885
H4,H4_sq_d-0.08_a1.00,-0.08,1.0651719582033974,UCCSD,0.0,8,0.0,0.0,0.0,-1.8822587165363762,-1.969770882426677,,,,,2.2582012272313525,0.8552443494382843,0.3129791293788772,0.1551497066175885
H4,H4_sq_d+0.00_a1.00,0.0,2.212721593449088,HEA,1.0,8,8.0,9.0,7.0,-1.6948895910043147,-1.9151065495118011,-0.495793581618202,1.4193129678935992,0.0016,False,1.4082553711951178,1.408255371195114,0.8531923909035201,0.1760399449357997
H4,H4_sq_d+0.00_a1.00,0.0,2.212721593449088,HEA,2.0,8,16.0,12.0,14.0,-1.6948895910043147,-1.9151065495118011,-1.8376776535048072,0.07742889600699399,0.0016,False,1.4082553711951178,1.408255371195114,0.8531923909035201,0.1760399449357997
H4,H4_sq_d+0.00_a1.00,0.0,2.212721593449088,HEA,3.0,8,24.0,15.0,21.0,-1.6948895910043147,-1.9151065495118011,-1.6908978832408577,0.2242086662709435,0.0016,False,1.4082553711951178,1.408255371195114,0.8531923909035201,0.1760399449357997
H4,H4_sq_d+0.00_a1.00,0.0,2.212721593449088,HEA,4.0,8,32.0,18.0,28.0,-1.6948895910043147,-1.9151065495118011,-1.231309692658096,0.6837968568537052,0.0016,False,1.4082553711951178,1.408255371195114,0.8531923909035201,0.1760399449357997
H4,H4_sq_d+0.00_a1.00,0.0,2.212721593449088,HEA,5.0,8,40.0,21.0,35.0,-1.6948895910043147,-1.9151065495118011,-1.8302321938791115,0.08487435563268964,0.0016,False,1.4082553711951178,1.408255371195114,0.8531923909035201,0.1760399449357997
H4,H4_sq_d+0.00_a1.00,0.0,2.212721593449088,HEA,6.0,8,48.0,24.0,42.0,-1.6948895910043147,-1.9151065495118011,-1.8254623312087233,0.0896442183030779,0.0016,False,1.4082553711951178,1.408255371195114,0.8531923909035201,0.1760399449357997
H4,H4_sq_d+0.00_a1.00,0.0,2.212721593449088,HEA_required,,8,,,,-1.6948895910043147,-1.9151065495118011,,,0.0016,False,1.4082553711951178,1.408255371195114,0.8531923909035201,0.1760399449357997
H4,H4_sq_d+0.00_a1.00,0.0,2.212721593449088,UCCSD,0.0,8,0.0,0.0,0.0,-1.6948895910043147,-1.9151065495118011,,,,,1.4082553711951178,1.408255371195114,0.8531923909035201,0.1760399449357997
H4,H4_sq_d+0.08_a1.00,0.08,1.0651719582033958,HEA,1.0,8,8.0,9.0,7.0,-1.8822587165363776,-1.9697708824266784,-0.5550929716029173,1.414677910823761,0.0016,False,2.2582012272313534,0.8552443494382859,0.312979129378876,0.1551497066175874
