name,delta,mr_score,layers,E_VQE,E_FCI,E_HF,dE,dE_FCI,dE_HF,success,nfev,message
H4_sq_d-0.30_a1.00,-0.3,1.2105508971504446,1,-0.5928518617278401,-2.1514346257935517,-2.108022044555556,1.5585827640657115,1.5585827640657115,1.515170182827716,True,121,Return from COBYLA because the trust region radius reaches its lower bound.
H4_sq_d-0.30_a1.00,-0.3,1.2105508971504446,2,-1.6631382338590195,-2.1514346257935517,-2.108022044555556,0.4882963919345322,0.4882963919345322,0.4448838106965367,False,250,Return from COBYLA because the objective function has been evaluated MAXFUN times.
H4_sq_d-0.30_a1.00,-0.3,1.2105508971504446,3,-1.5553679416276627,-2.1514346257935517,-2.108022044555556,0.596066684165889,0.596066684165889,0.5526541029278935,False,250,Return from COBYLA because the objective function has been evaluated MAXFUN times.
H4_sq_d-0.22_a1.00,-0.22,1.0876966860464303,1,-0.6069456470093938,-2.1111656292169814,-2.0580508013390117,1.5042199822075877,1.5042199822075877,1.451105154329618,True,214,Return from COBYLA because the trust region radius reaches its lower bound.
H4_sq_d-0.22_a1.00,-0.22,1.0876966860464303,2,-1.6720678625470162,-2.1111656292169814,-2.0580508013390117,0.43909776666996514,0.43909776666996514,0.3859829387919955,False,250,Return from COBYLA because the objective function has been evaluated MAXFUN times.
H4_sq_d-0.22_a1.00,-0.22,1.0876966860464303,3,-1.7315093842336189,-2.1111656292169814,-2.0580508013390117,0.3796562449833625,0.3796562449833625,0.32654141710539286,False,250,Return from COBYLA because the objective function has been evaluated MAXFUN times.
H4_sq_d-0.15_a1.00,-0.15,0.9814622292408852,1,-0.5928232743905556,-2.0477474708670482,-1.9815604078555382,1.4549241964764925,1.4549241964764925,1.3887371334649825,False,250,Return from COBYLA because the objective function has been evaluated MAXFUN times.
H4_sq_d-0.15_a1.00,-0.15,0.9814622292408852,2,-1.6541890130933334,-2.0477474708670482,-1.9815604078555382,0.3935584577737148,0.3935584577737148,0.3273713947622048,False,250,Return from COBYLA because the objective function has been evaluated MAXFUN times.
H4_sq_d-0.15_a1.00,-0.15,0.9814622292408852,3,-1.774874148954742,-2.0477474708670482,-1.9815604078555382,0.2728733219123063,0.2728733219123063,0.20668625890079628,False,250,Return from COBYLA because the objective function has been evaluated MAXFUN times.
H4_sq_d-0.08_a1.00,-0.08,1.0651719582034018,1,-0.5550928581526948,-1.969770882426677,-1.8822587165363762,1.4146780242739823,1.4146780242739823,1.3271658583836814,True,137,Return from COBYLA because the trust region radius reaches its lower bound.
