system,name,param,mr_score,noon_0,noon_1,ansatz,layers,n_qubits,n_params,depth,n_2q,E_HF,E_FCI
H2,H2_R2.16,2.16,1.5152000037930042,1.2204417160687804,0.7356417198617846,UCCSD,0,4,0,0,0,-0.7526593036761811,-0.9422585895180038
H2,H2_R2.37,2.37,1.6536938883876213,1.1623086739313855,0.8160025623190068,HEA,1,4,4,4,3,-0.719697276693124,-0.9376571397079378
H2,H2_R2.37,2.37,1.6536938883876213,1.1623086739313855,0.8160025623190068,HEA,2,4,8,7,6,-0.719697276693124,-0.9376571397079378
H2,H2_R2.37,2.37,1.6536938883876213,1.1623086739313855,0.8160025623190068,HEA,3,4,12,10,9,-0.719697276693124,-0.9376571397079378
H2,H2_R2.37,2.37,1.6536938883876213,1.1623086739313855,0.8160025623190068,UCCSD,0,4,0,0,0,-0.719697276693124,-0.9376571397079378
H2,H2_R2.58,2.58,1.7575254064055137,1.1160963641885768,0.8736217705940905,HEA,1,4,4,4,3,-0.6933446723596243,-0.9353314216673979
H2,H2_R2.58,2.58,1.7575254064055137,1.1160963641885768,0.8736217705940905,HEA,2,4,8,7,6,-0.6933446723596243,-0.9353314216673979
H2,H2_R2.58,2.58,1.7575254064055137,1.1160963641885768,0.8736217705940905,HEA,3,4,12,10,9,-0.6933446723596243,-0.9353314216673979
H2,H2_R2.58,2.58,1.7575254064055137,1.1160963641885768,0.8736217705940905,UCCSD,0,4,0,0,0,-0.6933446723596243,-0.9353314216673979
H2,H2_R2.79,2.79,1.8329547787468705,1.0811743333761106,0.9141291121229811,HEA,1,4,4,4,3,-0.6724685575232496,-0.9341845556628534
H2,H2_R2.79,2.79,1.8329547787468705,1.0811743333761106,0.9141291121229811,HEA,2,4,8,7,6,-0.6724685575232496,-0.9341845556628534
H2,H2_R2.79,2.79,1.8329547787468705,1.0811743333761106,0.9141291121229811,HEA,3,4,12,10,9,-0.6724685575232496,-0.9341845556628534
H2,H2_R2.79,2.79,1.8329547787468705,1.0811743333761106,0.9141291121229811,UCCSD,0,4,0,0,0,-0.6724685575232496,-0.9341845556628534
H2,H2_R3.00,3.0,1.8867110435959156,1.0556100002443503,0.9423210438402658,HEA,1,4,4,4,3,-0.656048251145591,-0.9336318445584986
H2,H2_R3.00,3.0,1.8867110435959156,1.0556100002443503,0.9423210438402658,HEA,2,4,8,7,6,-0.656048251145591,-0.9336318445584986
H2,H2_R3.00,3.0,1.8867110435959156,1.0556100002443503,0.9423210438402658,HEA,3,4,12,10,9,-0.656048251145591,-0.9336318445584986
H2,H2_R3.00,3.0,1.8867110435959156,1.0556100002443503,0.9423210438402658,UCCSD,0,4,0,0,0,-0.656048251145591,-0.9336318445584986
