name,delta,mr_score,layers,E_VQE,E_FCI,E_HF,dE,dE_FCI,dE_HF,success,nfev,message
H4_sq_d-0.30_a1.00,-0.3,1.2105508971504442,1,-1.6504544137539177,-2.1514346257935517,-2.1080220445555553,0.500980212039634,0.500980212039634,0.45756763080163765,True,199,Return from COBYLA because the trust region radius reaches its lower bound.
H4_sq_d-0.30_a1.00,-0.3,1.2105508971504442,2,-0.855924733286763,-2.1514346257935517,-2.1080220445555553,1.2955098925067887,1.2955098925067887,1.2520973112687923,False,250,Return from COBYLA because the objective function has been evaluated MAXFUN times.
H4_sq_d-0.30_a1.00,-0.3,1.2105508971504442,3,-1.0602378296223158,-2.1514346257935517,-2.1080220445555553,1.0911967961712359,1.0911967961712359,1.0477842149332395,False,250,Return from COBYLA because the objective function has been evaluated MAXFUN times.
H4_sq_d-0.22_a1.00,-0.22,1.0876966860464299,1,-1.7487676694816332,-2.1111656292169805,-2.0580508013390144,0.3623979597353473,0.3623979597353473,0.3092831318573812,False,250,Return from COBYLA because the objective function has been evaluated MAXFUN times.
H4_sq_d-0.22_a1.00,-0.22,1.0876966860464299,2,-0.9996707951213211,-2.1111656292169805,-2.0580508013390144,1.1114948340956594,1.1114948340956594,1.0583800062176933,False,250,Return from COBYLA because the objective function has been evaluated MAXFUN times.
H4_sq_d-0.22_a1.00,-0.22,1.0876966860464299,3,-1.2958965144790773,-2.1111656292169805,-2.0580508013390144,0.8152691147379032,0.8152691147379032,0.7621542868599371,False,250,Return from COBYLA because the objective function has been evaluated MAXFUN times.
H4_sq_d-0.15_a1.00,-0.15,0.9814622292408874,1,-1.25302776898567,-2.0477474708670518,-1.981560407855539,0.7947197018813819,0.7947197018813819,0.7285326388698692,False,250,Return from COBYLA because the objective function has been evaluated MAXFUN times.
H4_sq_d-0.15_a1.00,-0.15,0.9814622292408874,2,-1.0818568060795566,-2.0477474708670518,-1.981560407855539,0.9658906647874952,0.9658906647874952,0.8997036017759825,False,250,Return from COBYLA because the objective function has been evaluated MAXFUN times.
H4_sq_d-0.15_a1.00,-0.15,0.9814622292408874,3,-1.4883514612171405,-2.0477474708670518,-1.981560407855539,0.5593960096499113,0.5593960096499113,0.49320894663839865,False,250,Return from COBYLA because the objective function has been evaluated MAXFUN times.
H4_sq_d-0.08_a1.00,-0.08,1.065171958203405,1,-1.2919427301238808,-1.9697708824266806,-1.882258716536377,0.6778281523027998,0.6778281523027998,0.5903159864124963,False,250,Return from COBYLA because the objective function has been evaluated MAXFUN times.
H4_sq_d-0.08_a1.00,-0.08,1.065171958203405,2,-1.1230968314945236,-1.9697708824266806,-1.882258716536377,0.8466740509321571,0.8466740509321571,0.7591618850418536,False,250,Return from COBYLA because the objective function has been evaluated MAXFUN times.
H4_sq_d-0.08_a1.00,-0.08,1.065171958203405,3,-1.629850676909392,-1.9697708824266806,-1.882258716536377,0.33992020551728874,0.33992020551728874,0.2524080396269852,False,250,Return from COBYLA because the objective function has been evaluated MAXFUN times.
H4_sq_d+0.00_a1.00,0.0,2.212721593449086,1,-1.3043675683160216,-1.9151065495118065,-1.7610750541360964,0.6107389811957848,0.6107389811957848,0.4567074858200748,False,250,Return from COBYLA because the objective function has been evaluated MAXFUN times.
H4_sq_d+0.00_a1.00,0.0,2.212721593449086,2,-1.14100301223343,-1.9151065495118065,-1.7610750541360964,0.7741035372783764,0.7741035372783764,0.6200720419026664,False,250,Return from COBYLA because the objective function has been evaluated MAXFUN times.
H4_sq_d+0.00_a1.00,0.0,2.212721593449086,3,-1.7602338124805117,-1.9151065495118065,-1.7610750541360964,0.15487273703129478,0.15487273703129478,0.0008412416555847457,False,250,Return from COBYLA because the objective function has been evaluated MAXFUN times.
H4_sq_d+0.08_a1.00,0.08,1.065171958203401,1,-1.291942730123888,-1.9697708824266784,-1.882258716536374,0.6778281523027905,0.6778281523027905,0.5903159864124861,False,250,Return from COBYLA because the objective function has been evaluated MAXFUN times.
H4_sq_d+0.08_a1.00,0.08,1.065171958203401,2,-1.1230968314945189,-1.9697708824266784,-1.882258716536374,0.8466740509321595,0.8466740509321595,0.7591618850418551,False,250,Return from COBYLA because the objective function has been evaluated MAXFUN times.
H4_sq_d+0.08_a1.00,0.08,1.065171958203401,3,-1.629850676909392,-1.9697708824266784,-1.882258716536374,0.3399202055172865,0.3399202055172865,0.2524080396269821,False,250,Return from COBYLA because the objective function has been evaluated MAXFUN times.
H4_sq_d+0.15_a1.00,0.15,0.9814622292408844,1,-1.2530277689857534,-2.0477474708670482,-1.9815604078555373,0.7947197018812948,0.7947197018812948,0.7285326388697839,False,250,Return from COBYLA because the objective function has been evaluated MAXFUN times.
H4_sq_d+0.15_a1.00,0.15,0.9814622292408844,2,-1.081856806079176,-2.0477474708670482,-1.9815604078555373,0.9658906647878722,0.9658906647878722,0.8997036017763613,False,250,Return from COBYLA because the objective function has been evaluated MAXFUN times.
H4_sq_d+0.15_a1.00,0.15,0.9814622292408844,3,-1.4883514612171178,-2.0477474708670482,-1.9815604078555373,0.5593960096499304,0.5593960096499304,0.4932089466384195,False,250,Return from COBYLA because the objective function has been evaluated MAXFUN times.
H4_sq_d+0.23_a1.00,0.23,1.0876966860464294,1,-0.9706025545223235,-2.111165629216983,-2.0580508013390117,1.1405630746946596,1.1405630746946596,1.0874482468166882,False,250,Return from COBYLA because the objective function has been evaluated MAXFUN times.
